,whole_name,sex,ioc,id,hand,best_rank,best_rank_points,best_of_3_match,best_of_5_match,best_of_3_wins,best_of_5_wins,m_16,w_16,m_17,w_17,m_18,w_18,m_19,w_19,m_20,w_20,m_21,w_21,w_tourney,tot_minutes,height,birthdate,sv1st,sv1st_win,sv2nd_win,df,ace,bpS,wmatch,lmatch,nmatch,w_surface_Hard,w_surface_Clay,w_surface_Grass,w_surface_Carpet,w_surface_unknown,l_surface_Hard,l_surface_Clay,l_surface_Grass,l_surface_Carpet,l_surface_unknown,n_tourney
0,Kei Nishikori,M,JPN,105453.0,R,4,5010,208,75,135,56,80,58,44,30,70,48,43,29,6,2,40,24,3,33023.91187612713,178.0,23/12/1989,14032,9825,4689,644,872.0,1154.0,191,92,283,117,56,18,0,0,55,28,9,0,0,91
1,Daniil Medvedev,M,RUS,106421.0,R,2,10620,324,58,229,38,84,60,53,27,77,53,80,59,38,28,50,40,14,38112.28715235756,198.0,15/02/1996,16455,12334,5789,1205,2854.0,1305.0,267,115,382,205,27,35,0,0,73,26,16,0,0,129
2,Jo Wilfried Tsonga,M,FRA,104542.0,R,7,3480,148,49,95,30,54,37,54,38,12,5,66,44,2,-1,9,1,7,21506.786448080293,188.0,20/04/1985,9433,7474,3168,504,1917.0,636.0,125,72,197,91,23,11,0,0,46,18,8,0,0,82
3,Jeremy Chardy,M,FRA,104871.0,R,28,1265,242,38,135,14,47,23,62,34,59,33,62,34,10,3,40,22,1,28833.134644789367,188.0,15/02/1987,13288,9835,3998,1119,2227.0,1049.0,149,131,280,89,40,20,0,0,77,39,15,0,0,133
4,Alex De Minaur,M,AUS,200282.0,R,15,2690,234,38,145,19,16,11,56,29,82,52,57,38,23,13,38,21,6,29048.475555545185,183.0,20/02/1999,12382,8699,4431,742,968.0,1051.0,164,108,272,117,16,31,0,0,68,25,15,0,0,114
5,Milos Raonic,M,CAN,105683.0,R,3,5450,181,65,117,50,71,52,43,29,51,33,36,23,33,23,12,7,1,25841.844553732448,196.0,27/12/1990,11484,9350,3730,852,3667.0,580.0,167,79,246,110,26,31,0,0,57,12,10,0,0,80
6,Yasutaka Uchiyama,M,JPN,106034.0,R,78,735,259,9,136,1,57,30,50,25,49,27,69,44,18,5,25,6,5,26565.569957461223,176.29,07/08/1992,11747,8598,3572,503,1800.0,902.0,137,131,268,124,8,5,0,0,103,18,10,0,0,134
7,Grigor Dimitrov,M,BUL,105777.0,R,3,5150,214,66,127,44,66,40,68,49,43,24,46,25,30,19,27,14,4,32521.77336975921,188.0,18/05/1991,14664,10875,4372,1112,1874.0,1161.0,171,109,280,130,31,10,0,0,70,28,11,0,0,113
8,Jordan Thompson,M,AUS,111442.0,R,43,1113,303,39,186,15,76,49,65,36,82,53,55,31,25,12,39,20,7,36644.153515478276,183.0,23/04/1994,16319,11617,4700,706,1835.0,1271.0,201,141,342,139,33,29,0,0,88,28,25,0,0,149
9,Andy Murray,M,GBR,104918.0,R,1,12560,128,55,96,43,89,80,36,26,13,7,21,13,7,3,17,10,11,23394.0,190.0,17/05/1987,8891,6600,3198,491,1230.0,666.0,139,44,183,91,28,20,0,0,29,9,6,0,0,57
10,Miomir Kecmanovic,M,SRB,200175.0,R,39,1388,208,17,118,7,-1,-1,25,14,69,43,69,38,31,18,31,12,3,22064.290091056915,183.0,31/08/1999,9651,6788,3483,504,848.0,883.0,125,100,225,86,31,8,0,0,62,30,8,0,0,101
11,Nick Kyrgios,M,AUS,106401.0,R,13,2460,149,53,98,34,55,40,49,31,39,25,37,23,9,6,13,7,6,20393.01307832108,193.0,29/04/1995,10634,8323,2942,683,3135.0,580.0,132,70,202,102,15,15,0,0,48,11,11,0,0,81
