,whole_name,sex,ioc,id,hand,best_rank,best_rank_points,best_of_3_match,best_of_5_match,best_of_3_wins(%),best_of_5_wins(%),num_win_bye,num_win_wo_ret,num_win_def,num_wo_ret,num_def,m_16,w_16,m_17,w_17,m_18,w_18,m_19,w_19,m_20,w_20,m_21,w_21,tot_minutes,height,birthdate,sv1st_win%,df%,ace_perc,bpS_perc
0,Kei Nishikori,M,JPN,105453.0,R,4,5010,208,75,64,74,0,5,0,8,0,80,58,44,30,70,48,43,29,6,2,40,24,33023.91187612713,178.0,23/12/1989,68.03920669967887,2.756199308537915,3.84,63.51
1,Daniil Medvedev,M,RUS,106421.0,R,2,10620,324,58,70,65,0,4,0,3,1,84,60,53,27,77,53,80,59,38,28,50,40,38112.28715235756,198.0,15/02/1996,72.79752331044051,4.232247385796394,10.32,64.6
2,Jo Wilfried Tsonga,M,FRA,104542.0,R,7,3480,148,49,64,61,0,3,0,7,0,54,37,54,38,12,5,66,44,2,-1,9,1,21506.786448080293,188.0,20/04/1985,78.83028637448938,3.2342726029765365,12.36,69.89
3,Jeremy Chardy,M,FRA,104871.0,R,28,1265,242,38,55,36,0,5,0,3,0,47,23,62,34,59,33,62,34,10,3,40,22,28833.134644789367,188.0,15/02/1987,71.8994581577363,5.080522394038939,10.41,64.55
4,Alex De Minaur,M,AUS,200282.0,R,15,2690,234,38,61,50,0,7,0,1,0,16,11,56,29,82,52,57,38,23,13,38,21,29048.475555545185,183.0,20/02/1999,68.70546191340371,3.5085211920567474,4.68,63.2
5,Milos Raonic,M,CAN,105683.0,R,3,5450,181,65,64,76,0,5,0,11,0,71,52,43,29,51,33,36,23,33,23,12,7,25841.844553732448,196.0,27/12/1990,77.77699903435816,4.49173531470414,20.24,71.52
6,Yasutaka Uchiyama,M,JPN,106034.0,R,78,735,259,9,52,11,0,6,0,9,0,57,30,50,25,49,27,69,44,18,5,25,6,26565.569957461223,176.29,07/08/1992,70.46206780009885,2.5983652247455575,9.66,66.62
7,Grigor Dimitrov,M,BUL,105777.0,R,3,5150,214,66,59,66,0,8,0,1,0,66,40,68,49,43,24,46,25,30,19,27,14,32521.77336975921,188.0,18/05/1991,73.36662672433948,4.719979895678184,8.04,66.19
8,Jordan Thompson,M,AUS,111442.0,R,43,1113,303,39,61,38,0,5,0,5,0,76,49,65,36,82,53,55,31,25,12,39,20,36644.153515478276,183.0,23/04/1994,70.97881097948826,2.751575939157331,7.17,63.42
9,Andy Murray,M,GBR,104918.0,R,1,12560,128,55,75,78,0,4,0,1,0,89,80,36,26,13,7,21,13,7,3,17,10,23394.0,190.0,17/05/1987,72.60980435179431,3.193269677944425,8.18,61.84
10,Miomir Kecmanovic,M,SRB,200175.0,R,39,1388,208,17,56,41,0,6,0,4,0,-1,-1,25,14,69,43,69,38,31,18,31,12,22064.290091056915,183.0,31/08/1999,68.77168744747235,3.0354173082845706,5.22,64.12
11,Nick Kyrgios,M,AUS,106401.0,R,13,2460,149,53,65,64,0,2,0,11,1,55,40,49,31,39,25,37,23,9,6,13,7,20393.01307832108,193.0,29/04/1995,77.10542683006311,4.173529559878206,19.45,71.52
12,John Millman,M,AUS,105357.0,R,33,1521,249,39,55,46,0,3,0,7,0,60,33,44,27,57,34,63,31,31,18,33,14,31232.460546434828,183.0,16/06/1989,68.11700614153708,2.2736719723252086,5.34,62.06
